PAM,VFSC
88.59,66.11
88.50,65.62
88.40,65.11
88.27,64.64
88.11,64.21
87.85,63.92
87.45,63.83
87.05,63.82
86.70,63.86
86.42,63.95
86.45,64.06
86.64,64.19
86.89,64.31
87.16,64.43
87.38,64.53
87.41,64.57
87.38,64.58
87.30,64.54
87.15,64.44
86.93,64.24
86.63,63.90
86.29,63.52
85.91,63.12
85.52,62.71
85.13,62.35
84.76,62.07
84.39,61.82
84.03,61.60
83.68,61.40
83.35,61.23
83.05,61.09
82.77,60.98
82.50,60.89
82.25,60.84
82.03,60.84
81.85,60.90
81.67,60.99
81.48,61.09
81.27,61.19
80.98,61.24
80.52,61.15
80.07,61.08
79.65,61.06
79.30,61.10
79.16,61.37
79.27,61.87
79.45,62.42
79.67,62.99
79.91,63.52
80.03,63.84
80.10,64.01
80.14,64.12
80.16,64.16
80.18,64.16
80.19,64.08
80.20,63.98
80.22,63.88
80.25,63.82
80.30,63.79
80.37,64.04
80.47,64.34
80.61,64.66
80.80,64.95
81.04,65.20
81.39,65.20
81.79,65.12
82.25,65.00
82.75,64.86
83.29,64.71
83.91,64.60
84.55,64.52
85.18,64.47
85.81,64.47
86.40,64.53
86.93,64.76
87.39,65.04
87.79,65.34
88.10,65.66
88.29,65.95
88.20,66.10
88.05,66.24
87.87,66.38
87.69,66.54
87.63,66.78
87.79,67.17
87.99,67.56
88.21,67.93
88.42,68.26
88.56,68.40
88.60,68.35
88.60,68.26
88.53,68.18
88.41,68.14
88.17,68.39
87.85,68.86
87.48,69.34
87.08,69.78
86.65,70.11
86.20,70.05
85.76,69.66
85.33,69.15
84.93,68.56
84.57,67.93
84.31,67.36
84.17,66.89
84.08,66.47
84.03,66.10
84.02,65.79
84.02,65.57
84.01,65.52
84.02,65.52
84.02,65.56
84.01,65.63
83.98,65.70
83.90,65.73
83.81,65.75
83.70,65.77
83.57,65.77
83.39,65.72
83.13,65.55
82.89,65.41
82.71,65.33
82.62,65.32
82.77,65.60
83.17,66.14
83.65,66.72
84.16,67.27
84.69,67.73
85.08,67.77
85.42,67.62
85.70,67.36
85.93,67.00
86.10,66.59
86.16,66.19
